ObjectId,Country,ISO2,ISO3,Indicator,Unit,Date,Value
1,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M03,315.7
2,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M04,317.45
3,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M05,317.51
4,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M06,317.24
5,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M07,315.86
6,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M08,314.93
7,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M09,313.2
8,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M10,312.43
9,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M11,313.33
10,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M12,314.67
11,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M01,315.58
12,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M02,316.48
13,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M03,316.65
14,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M03,0.300918593601507
15,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M04,317.72
16,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M04,0.0850527642148435
17,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M05,318.29
18,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M05,0.245661553966814
19,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M06,318.15
20,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M06,0.286849073256823
21,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M07,316.54
22,World,,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M07,0.215285252960173
23,World,,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M08,314.8
